"","id","date","screen_name","text","pre_processed_text","rt","like"
"107587",107587,2020-04-26,"016_sw","@AnakLolina Yg kasian petugas medis dan suoir ambulan kapan mereka libur puasa dan lebaran kl kek gini terus apa ga kasian sm medis dan orang orang yg bekerja di garda depan pandemic covid 19 ini ?","yg kasian petugas medis dan suoir ambulan kapan mereka libur puasa dan lebaran kl kek gini terus apa ga kasian sm medis dan orang orang yg bekerja di garda depan pandemic covid  ini",0,0
"66190",66190,2020-04-26,"ddoughnads","corona kamu kapan ilangnya <U+0001F62D>
aku dirumah makin goblooggg","corona kamu kapan ilangnya aku dirumah makin goblooggg",1,1
"80188",80188,2020-04-26,"mwakakorona","@kigogo2014 Hili liwe fundisho kwa woote ambao mlidhani #magufuli ni mkombozi wa nchi hii. Uwe mwana CCM kindakindaki, uwe huna chama, au CDM legend. Corona haibagui. 

Uzembe na mzaha wa huyo Alie mkuu saana ndio tiketi yetu ya kuabiri Basi la mauti.

Rai kwa wote tutakao Pona.
Shime wotee","hili liwe fundisho kwa woote ambao mlidhani ni mkombozi wa nchi hii uwe mwana ccm kindakindaki uwe huna chama au cdm legend corona haibagui uzembe na mzaha wa huyo alie mkuu saana ndio tiketi yetu ya kuabiri basi la mauti rai kwa wote tutakao pona shime wotee",1,20
"7717",7717,2020-04-27,"dinnisimamora1","Jadi penasaran sama orang2 yg nonton drakor jalur corona <U+0001F642>","jadi penasaran sama orang yg nonton drakor jalur corona",0,0
"67906",67906,2020-04-26,"jandakembang78","@D14h_Soew4rn02 @BocorKangSampah Mereka tdk mau tahu walau 1 jt x pun diberitahu bahwa covid19 berasal dari cina bahkan mereka buka pintu selebar lebarnya utk cina2 itu https://t.co/Q5lZClukQO","mereka tdk mau tahu walau  jt x pun diberitahu bahwa covid berasal dari cina bahkan mereka buka pintu selebar lebarnya utk cina itu",0,2
"59111",59111,2020-04-27,"Yusufaddaai_O2","@panca66 Awas pengalihan isu dana covid 19 , tanya dewan PKS @MardaniAliSera Deh","awas pengalihan isu dana covid  tanya dewan pks deh",0,0
"46161",46161,2020-04-27,"HSatemi","@sandiuno ditunggu diskusi onlinenya dengan tema bersatu melawan covid 19<U+0001F64F>","ditunggu diskusi onlinenya dengan tema bersatu melawan covid ",0,0
"33216",33216,2020-04-27,"vraahma","@coklatmaniess Semoga cepet Berakhir deh Corona ini :'(","semoga cepet berakhir deh corona ini",0,0
"40438",40438,2020-04-27,"SaberPungliRI","Warga Bisa Lapor Jika Bantuan Covid-19 Disunat, Satgas Saber Pungli Ikut Awasi Penyaluran Bantuan https://t.co/UFAkO6XP8C","warga bisa lapor jika bantuan covid  disunat satgas saber pungli ikut awasi penyaluran bantuan",0,1
"3541",3541,2020-04-27,"rudiy0927","Yang ketakutan sekarang bukan masalah corona, tapi maling sudah berkeliaran masuk ke kampung kampung.","yang ketakutan sekarang bukan masalah corona tapi maling sudah berkeliaran masuk ke kampung kampung",0,0
