"","id","date","screen_name","text","pre_processed_text","rt","like"
"24049",24049,2020-04-27,"mailturnback","Menerima Konsultasi Koperasi Tani Semu Dane Desa Pengembur Kec. Pujut Lombok Tengah terkait dengan dampak Covid 19 pada usaha koperasi sekaligus pendataan koperasi yang terdampak Covid 19
@PENYULUH_COOP 
@KemenkopUKM 
@DiskopProvNtb 
#ppklselindo
#ppklntb
#ppklkemenkop https://t.co/IHAhj1VAUH","menerima konsultasi koperasi tani semu dane desa pengembur kec pujut lombok terkait dampak covid usaha koperasi pendataan koperasi terdampak covid",0,0
"91108",91108,2020-04-26,"bisnisindgroup","Di New York, Tes Virus Corona Bisa Dilakukan di Apotek https://t.co/G5YhGpEsJH","new york tes virus corona apotek",0,0
"75260",75260,2020-04-26,"bisnisindgroup","Di Tengah Pandemi Covid-19, Ekspor Manggis Bali Terus Tumbuh https://t.co/MRlwgdiJuc","pandemi covid ekspor manggis bali tumbuh",0,0
"19888",19888,2020-04-27,"cnbcindonesia","Dibahas di Tengah Virus Corona, RUU Ciptaker Sepenting Apa? https://t.co/Pu3SX9D8fO","dibahas virus corona ruu ciptaker sepenting",1,1
"45731",45731,2020-04-27,"Kudapuni","Corona hilang aku mau nonton konser fix.","corona hilang nonton konser fix",1,0
"102763",102763,2020-04-26,"korean_area","(G)I-DLE, MOMOLAND, Kim Dong Jun, Lee Dong Gun dan Banyak Lagi Lainnya Berikan Donasi Bantuan Melawan COVID-19 https://t.co/ha2CAgD95J https://t.co/7pQdECBfxQ","g i dle momoland kim jun lee gun donasi bantuan melawan covid",0,0
"105932",105932,2020-04-26,"wazrixafifi","Pengarah cerita My Secret Terrius macam tahu tahu je corona virus akan menyerang dunia 2019 . Sedangkan cerita ni ditayang tahun 2018 kat Netflix . Kebetulan ke or memang nak bagi hints virus ni wujud . ? https://t.co/vib7c884Rz","pengarah cerita my secret terrius je corona virus menyerang dunia cerita ni ditayang kat netflix or nak hints virus ni wujud",0,0
"34230",34230,2020-04-27,"KDiakhir","Ulama Indonesia, Quraish Shihab pun mengimbau kepada seluruh masyarakat, terutama umat Muslim agar dapat memaknai Ramadan dengan keterbatasan saat pandemi Corona Covid-19.
#JanganNgumpulDosa","ulama indonesia quraish shihab mengimbau masyarakat umat muslim memaknai ramadan keterbatasan pandemi corona covid",0,0
"20901",20901,2020-04-27,"twt_siti","Rumah kampung dilanda ribut.Allah..ujian di bulan Ramadhan dengan covid-19 lagi

Aku dalam keta diluar rumah time ni. Gugur jantung tgk https://t.co/8uafUtL6LL","rumah kampung dilanda ribut allah ujian ramadhan covid keta diluar rumah time ni gugur jantung tgk",0,0
"28656",28656,2020-04-27,"adiinyus_","@angelicarin_ Kita dituntut untuk kreatif soalnya musim corona gini... Aku juga krisis :(","dituntut kreatif musim corona gini krisis",0,0
"20993",20993,2020-04-27,"AritraB32173626","@self4society

Do gaj doori hai bohot zaroori: PM Narendra Modi shares tips to limit Covid-19 spread
https://t.co/YhZt4v8s92

via NaMo App https://t.co/5S6ENCi09A","do gaj doori hai bohot zaroori pm narendra modi shares tips to limit covid spread",0,0
"13339",13339,2020-04-27,"nonchalantly__","@bngjacks Kasian corona dibawa bawa mulu wkwk","kasian corona dibawa bawa mulu wkwk",0,0
"50868",50868,2020-04-27,"Humas_ResSkw","DEMI PUTUSKAN MATA RANTAI PENYEBARAN COVID-19, SECARA RUTIN LAKUKAN HIMBAUAN PADA WARGA MASYARAKAT. https://t.co/Kl9Fusuy8Q https://t.co/ByOezSQGu6","putuskan mata rantai penyebaran covid rutin lakukan himbauan warga masyarakat",0,0
"71393",71393,2020-04-26,"PelangiNusanta9","Virus Covid 19 masih marajalela lebih baik di rumah saja.
#JanganMudik https://t.co/9rmt9GZl0c","virus covid marajalela rumah",0,0
"79965",79965,2020-04-26,"yahz","Terima kasih

Kiranya Tuhan yang penuh belas kasihan melindungi kita semua,
manusia berdosa ini <U+0001F64F>

Lord have mercy upon us the sinners ***

#kitaberterimakasih #stayhome #stayhome #pahlawangardadepan #covid19 #corona #dirumahsaja #pahlawancovid19 photo https://t.co/RyK2UNrTsN https://t.co/5urp12BHcY","terima kasih tuhan penuh belas kasihan melindungi manusia berdosa lord have mercy upon us the sinners photo",0,0
"13401",13401,2020-04-27,"IyasukaKamumas","kapan corona selesai?","corona selesai",0,0
"103553",103553,2020-04-26,"Edisetiyono94","Caption belum ditemukan.

#ramadhan #berkah
#sedekah #ecoracing
#brio #briobaper
#covid19 #berbagisemangat 
#Kartasura #solo #Sukoharjo @ Kartosuro, Jawa Tengah, Indonesia https://t.co/Oiox6BC2Ew","caption ditemukan kartosuro jawa indonesia",0,0
"7870",7870,2020-04-27,"kolachiwalay","Governor Sindh Imran Ismail Ka Corona Test Positive Aagaya, Imran Ismail Ki Twitter Paigham Main Tasdeeq. https://t.co/KAD6Rs2nKc","governor sindh imran ismail ka corona test positive aagaya imran ismail ki twitter paigham main tasdeeq",1,9
"35751",35751,2020-04-27,"xxastrophile_","daripada ngurus rambut gua mending lo pada duduk manis diem di rumah dan terapkan social distancing. ini udah bacot, bertindak semaujya, nanti kalau tiba-tiba dia kena corona nyalahin pemerintah. minggir aja lo bangsat","ngurus rambut gua mending lo duduk manis diem rumah terapkan social distancing udah bacot bertindak semaujya kena corona nyalahin pemerintah minggir aja lo bangsat",0,0
"39930",39930,2020-04-27,"KoHaryoko","Saat-saat seperti ini harusnya kita memunculkan rasa kemanusiaan, kepeduliaan kita terhadap sesama, khususnya terhadap orang-orang yang terpapar Covid-19 bukan dengan mengucilkannya #JanganNgumpulDosa","memunculkan kemanusiaan kepeduliaan orang orang terpapar covid mengucilkannya",0,0
"61514",61514,2020-04-27,"koffee4laip","@aevocadocs Tttapi ada corona<U+0001F44A><U+0001F614>","tttapi corona",0,0
"4061",4061,2020-04-27,"nadhakinanti","@ibunyahangyul alhamdulillah, pantes dikira corona sama adek u","alhamdulillah pantes corona adek u",0,0
"28740",28740,2020-04-27,"BillyMiya","Polisi maeneo ya kilimani jijini Nairobi  wamewakamata watu 18 (wanawake 5 na wanaume 13) waliopatikana katika chumba kimoja mtaani humo wakifanya sherehe na kurekodi filamu wakiwa uchi wa mnyama.
Mambo ya Corona tuweke kando kiasi, swali ni Je! Walikua wanafanya nini uchi?","polisi maeneo ya kilimani jijini nairobi wamewakamata watu wanawake na wanaume waliopatikana katika chumba kimoja mtaani humo wakifanya sherehe na kurekodi filamu wakiwa uchi wa mnyama mambo ya corona tuweke kando kiasi swali ni je walikua wanafanya nini uchi",2,15
"18714",18714,2020-04-27,"jpnncom","#Terpopuler
""Kami berjualan sayuran itu ke perumahan-perumahan dengan menggoes becak,"" kata wanita kelahiran Solo, Jawa Tengah.
#Ramadan #corona https://t.co/XsQDmZPoip","berjualan sayuran perumahan perumahan menggoes becak wanita kelahiran solo jawa",1,1
"44669",44669,2020-04-27,"humaspolsekpon1","Cegah Penyebaran Covid-19, Kepolisian Polda Kalbar Laksanakan Razia Masker dan Himbauan untuk mencegah Penularan Covid-19 kepada pengendara  yang memasuki kota Pontianak dan menuju  keluar kota di Terminal Batu Layang. Senin, 27/03/2020 https://t.co/ipxp0LF2bL","cegah penyebaran covid kepolisian polda kalbar laksanakan razia masker himbauan mencegah penularan covid pengendara memasuki kota pontianak kota terminal batu layang senin",0,1
"97255",97255,2020-04-26,"humaskpt1","Untuk mengurangi penyebaran pandemi Covid-19
-
Pemerintah Prov. Jawa Timur memantau langsung Pos penyekatan arus mudik di exit Toll Ngawi. Minggu (26/4/2020)
-
#dirumahaja
#polisijatim https://t.co/SqXONjt6uC","mengurangi penyebaran pandemi covid pemerintah prov jawa timur memantau langsung pos penyekatan arus mudik exit toll ngawi minggu",0,0
"49600",49600,2020-04-27,"Tumbu_Ladislaus","JIKINGE NA CORONA, DUKA MKONONI

Tunauza bidhaa zote za majumbani kama Mchele, Unga, Maharage, Sukari, Vinywaji aina zote, Mafuta na bingine vingi kwa bei ya mashinani na tunaweza kukufikishia popote ulipo hapa… https://t.co/WeanUo21FI","jikinge na corona duka mkononi tunauza bidhaa zote za majumbani kama mchele unga maharage sukari vinywaji aina zote mafuta na bingine vingi kwa bei ya mashinani na tunaweza kukufikishia popote ulipo hapa…",0,2
"51780",51780,2020-04-27,"wahyunorry","@MafiaWasit gimana kalo ternyata disitu ada satu orang positif covid19?","gimana kalo disitu orang positif covid",0,0
"100149",100149,2020-04-26,"Polsekkarangma1","Marhaban Ya Ramadhan

Selamat Menunaikan Ibadah Puasa 1441 H
Mari Jaga Kesucian Bulan Ramadhan Dengan Ibadah Di Rumah

Bersatu Kita Mengatasi Pandemi Covid-19 https://t.co/2zVjueKDLp","marhaban ya ramadhan selamat menunaikan ibadah puasa h mari jaga kesucian ramadhan ibadah rumah bersatu mengatasi pandemi covid",0,0
"80271",80271,2020-04-26,"palacasann","@seventhelucky @susahnyarinya @iygppko @selepett @ieusahaaa @covid19_indo @koalagemayy @nuggetrebus_ @tikkusgooooot @RickyMM_ @skuukzkyyyya @ipandani11 @Gelaaapppp @baebygrlll @egfaridp @erikawoymwhe @kemkominfo @KomnasHAM astaga masi lanjut ternyata","astaga masi",0,0
"58727",58727,2020-04-27,"BPerempuan","Covid-19 dan “Buku” Cerita Bergambar Karya Akas Tentang Coronavirus by @reisha - https://t.co/SXvTFyvTok https://t.co/ehO8cKZZLb","covid “buku” cerita bergambar karya akas coronavirus by",0,0
