old,new
kau,anda
km,anda
lu,anda
lo,anda
loe,anda
kamu,anda
byr,bayar
brp,berapa
cepet,cepat
cpt,cepat
dr,dari
drpd,daripada
deket,dekat
dkt,dekat
jgn,jangan
jg,juga
kmn,kemana
kpd,kepada
msh,masih
nnt,nanti
org,orang
sy,saya
aku,saya
gua,saya
gue,saya
gw,saya
w,saya
ak,saya
udah,sudah
dah,sudah
dh,sudah
ga,tidak
tak,tidak
gak,tidak
yg,yang
